5GW6jd4gZUyC1JCVPbfGHihdN65yWXqyG5m9WSA3Mjhmvuxx,85755016139,174474321
5CSuucHmQq1BBugtLmUnC9nJzz5WBKiBPzHndK99VKtoKUth,55701725470,113328890
5CwBKuDiuP8a1V3FmhQ3KuHU59o6bvNBF5XxrwFufaDNjWke,138139621,281054
5DRuqshnZrBiU9uWFSXAwGprj8As8GEhLLpTgEtsg5h4xPuZ,65432215151,133126222
5CDEryDfPLfCY13qo2JgaKs2P45bXZmxysANjfpSj8FTpoei,86343805008,175672252
5CUTsSTGTrei3AiUzn4h3DZD6thZtMiiZp7uNDF5paaLygUR,963753630417,1960821283
5FCD92U3Tz4mcXPpbNgS2jd3F49gHdLkck9Gcd3V6MeqgLb7,553925252136,1126998010
5DtRzvsStmo6XCgaidenK57PGeBexUK2fPTPxdgcFwkVixsX,162996603,331628
5DLgxKbvdwy77f1hQKr8kkrrnXraw6XyhNTPCj6Xsu4vkWUf,18532714,37706
5Dyo8jDPbTrTZd7fGx1uBeWHm4AJvUEXL36hgLLiBYfAqrmW,8873836912487,18054415287
5G94C61gT9N8rJ7dqcTn4nSjkc9pJ3R9Hde3axZkH7rziwXG,1151681336379,2343172782
5GjHdkxJszimroKbZfzXZQRwXKFw1NwiNmtgHNuyHnXqBHAY,41965025921,85380655
5E7wmuKkwxrK59tPi4mYHwc1kHiJVyxepeHgRJGcvaRTSBny,9615547072,19563474
5Gc5ruYcMmjdLGje38Vxe6fKA2xdjfBnoj2PqHkrSnWNMoA7,2442532795125,4969496495
5ECn4FGRM1cLS4GFYpP7JyepvFpkfQVa5Hf8UwbnzzhV6vz6,308599756142,627866864
5DPFkkiAfUYe2Dm3q9c5DpreE5DMdeHe5Dg8NtoULery3ugH,46380049626,94363316
5DPYA3Qok97kxmktoRFxL6o7upZMfkphFHqkzRBRiGrw26oU,13849567967,28177873
5CLavq2aALKTDCpn4MN2Mk2yCeGy9uxrSY7rkW5XfFuzSWM4,297224565543,604723277
5Cr6VaLeQ4PAYKPQ3c28EoZnmi1rJ2rQJ7SzCrYXVokuaiyd,714674904,1454054
5E5KbQgCRHB2HrdWJaThoArrDKPBYqcLFHioxuTUaHhhW2D9,17101260294,34793659
5EvWC5DamKw79gtgp5W5kqPcr2FahTJvLUMWfGo9r59W9YqX,24199211438,49234916
5ChmfHnXXbvBWyaUMxqEweseSEru7zgeabDBNtonz55PRBFN,637570787171,1297180451
5FUDzwzzdJn3SdWZSNFDie6tgCJchhMzgkSYa96uiWCWWaWV,3559423227306,7241884853
5DhEtCdUjBRgknZBRTE8u3KK8KL4k3jnQjSi1Q9RyMfBu3y2,162996603,331628
5GLCK2Dpo3KB8vCUnBy8vCNWWLY4eUrudMXMsqUjP81D7uFx,258219218,525364
5DPbsyuzj5vAzBmr85tSL7N62quUEZgagwJeZPu1612F1tu5,11695250728,23794771
5F4MQL6GQhCoBsd1Vov2thyGX5UpUTShCftdVCdywnAwUxup,65821173944,133917585
5EWwHtt8eSwmSbbQepZTg9MweiTxjaVBomgLzJt2iADY2fDP,101484406790,206476820
5F4sPi6oXEbZQqzQEwW4GoxadwdYccYQZSsJsyTSfs58XubL,22184350771,45135547
5GTKo4GkvrmAJjCwaqm6nBHs4j2GZJ9GxxHkKyvXDSe59fjb,204805839182,416691191
5EFLJhSn26gx5tRXTRF2XWg8zhJsw91WCpMwiprQrwUMGkEE,178676876,363530
5DAWpcTou7H8nGjfviYWzEGCoHRKLaW44YQ71GkX3eBvQbU8,20809663029,42338653
5Ef9KLkGQGsgFMnFi5fQuZuJC4SfYKJM1FtL3PoJtEDuj8Sa,44803404074,91155525
5FHtgx56ViPjAXoUYSrgN8RHF1mKAjRT8Zg212EcNTByX4k9,40749150637,82906875
5GhMFL7fXRutpHKoUWYaBYf5HHJbkWRSk9s6exajrPSPEq7r,258137719,525198
5FCFS87cphv4zm72NHxJWeNZwCYhUmGhUYBiTXe9jTBhx416,313339175755,637509531
5CS6tnkdyZ3GsMx3ZRwvATsKfMsFBXpnyUsu9ktDxx1eWQgT,12485102117,25401776
5CDjUCVpo3UWCggJTZjh6yLiUWnmcPNxLmEwYbe4AinK8urV,76591549349,155830635
5HK1aDYgSmV8ig6hVPbnt6m5N8nfZVYSufEFg7qSU28jbHWn,71551268766,145575847
5FZ45opdoKCtXtPTAbM93fnD7cFMDzvirJLz7fdk3SC1wjwW,162996603,331628
5G4mCi6KnB5y1FDueurotrtqiRZzhuP7rhmNT95XRbXjzEnz,586126752755,1192514119
5DCbULBJjTbRP5KZ16u1D8mE67CQijSTQdhjpThKqbMXumaR,13827445873,28132864
5FCwBftvi5JH4Lec8bNVrb5XUsEdgmGbXyvtqyYoZx7REs3F,92105860653,187395540
5HTBrVSQcGNM9XPEastgGPerFPZj67HtK8e3cQgoxzMEwzR7,326027810224,663325407
