AccountId,Pool Balance,Incentive Share
5DFKQuvHBDHXr4yr6LDLiV4eYJvm5yA9SEYyzYmYoixik7pz,0,2593769789580
5HdZGjnnFse8vGeFh2S27xKHYxLvjvVuoK1879i2wyXSX8AF,0,29144790732
5HGyq2sc2iPfy2jeGVFDVsdUcAJmFX2XLLth4KXA8NXVG63D,0,2541920116927
5FcKLw6EjnaSSJ3BDKiH6qKD4Z2zLMjGmcdRBpKvWGUALhZs,0,10503700522
5FhmFuUyfyRQsgsGjitxwTbhCy3yvkASdboN39wHBnrVzf28,0,65008796220
5Dz2LcfsVPVChqqu8XXmYkDAp3cgPEB92EnfK2Q2n13EyT3Q,0,1531851886539
5FuvMyfcg4RPTiUGSfLZcoqbdxgmTESoPMCHPUu42Mc5YgX8,0,196304436441
5HpE5UWgwYzW9ENgJKTwvuW9FQpY9G8DcaCMAbwPLHZENdXF,0,115923041967
5DFC2i2TLZxennhmhfVbQFD9guwgk3nedPaxNyrXjTqwCXk8,0,213933892456
5FCQtWidUZHxyoWoo9nJAg4g4QxDdPUaxe3ME8ezVcdP48tR,0,2513456310247
5ENjb3ouip8UnsDVgfDqSk9zcRoq4w4n8rzsxZV9hQ3BDAke,0,314129874660
5DHxqNb9jRYTjmnnPCg9zjcsdx62DTKwU92TytFBM22KTZCQ,0,117897026903
5DFJsScUySVeJ8UPrQNBwqfjPN4P7ebrGQqQzeRg4J9ucnL1,0,6379134479519
5GzxcGiwcyDY4Twhoi1aLK5EYhRaokwFJZLd4FEq1NtV1D2W,0,32340229568
5FQvXDVdrBpwMT94QH4GKMm1vedNgHNVKMtMnM6swhhEhwvo,119221434142,0
5CUj2qeLRmfHP1SFcwE8NsyufzkH9rKJvhrACi8bZ9HaK3rf,0,12149115191
5F4sPi6oXEbZQqzQEwW4GoxadwdYccYQZSsJsyTSfs58XubL,0,3063022836743
5CqJcCW5SMqCZBA9KhGsB5KEjuGzfevLZ4998jmhKib1qpdQ,0,2342330307550
5GQbRMceZHJyfRvC7kBnSCygG8y2wQdkekWXLEz7MkozMHP9,0,6478737217511
5HEdmTgbgaz8r3XCxonbSTEb5vTUtVTqiTc1nwBpumqEBgyx,0,25719123470
5FUSDc9La8dTD72G9gPY8hUju3EZPLPjPBEC7a28UzhWHBLD,0,381364810715
5CFRpQjcqE4Myakfe9dxJe9KLbVkXePPWMaH6tWpMLNg5eZB,0,1939460340973
5Ck7eEPMDx3MnbVT61RGYwcyptSMzaeqf66HtVMRDupz2nZd,0,30752394677
5DCbULBJjTbRP5KZ16u1D8mE67CQijSTQdhjpThKqbMXumaR,0,12188980113
5F1qqJeVmECzW4fwxj2ymaLB7UhVvUhipZo5RJyu8zeGcWzp,0,16105921579
5F3w3KX8qaUgrA8hxKU8z8yw39zPRbDcxvLCqNg5iSUDssWG,401827024,0
5DXg2bP8w5D59cGJuV8hFZH2vFYGjt9SUanRo3sUFF8SFCBK,0,412161674505
5CyjjpUoDxCFxJfziNcAZ1YFVNcnV58QUkKstDZTsXfpoLUo,7991756189,0
5GNVSdHAo4Q2YS97a43VdqvpkpjNzEESggXoAkN6miykRCnx,1092318820,5424000000000
5GREeQcGHt7na341Py6Y6Grr38KUYRvVoiFSiDB52Gt7VZiN,10000000000,30000000000
5EFBd9EoC3txrgMvDsUbu8PaQ5NiDvTfPaSSLBZSt6P4xVaM,0,2132340899924
5Gy3HBdYRUVpVcUMKNjZJeXRpH7p6TLXkejcxmSz47ahpzLA,0,1365909411096
5ECBrPe4287YbsGJeudbHHB9CAkmprcFb8CwMqFDzoKGNCM5,0,3136278594733
5FNxXKuEqDmpfbGcWYmn7GkjEdoytZBvm4PbCU8wuhFfc4KT,0,6149997174274
5GBZm78cDzRxWLWuNtyBqwLQSR56HXaXDjdEHHaoZL47J1UH,0,222606344561
5Gj4mbM3aJpjzkFUDPkpQbWPiW6UE4rh5r6JQbmaGPmEL1MU,0,11370049721
5EP3WQns43NRypgcqqb3sSXAugE73uExLXrtmzP4c9LEehyw,0,303570371140
5Ci3a3phaao3tfsY6fLGKXR4QB6kLWUQ5f7ESSgKoPVHVbBG,0,520021789971
5CyCtCA1aYAHNwy73HvXGLTTRvYCyue8oBu9w1qt3fCTDDgW,0,51684856867
5HgbYY4xQj4jZ7syRrTmrsZWfewezcVP3JzGoTGZ4i5RbvtG,0,29558371535
5HjDuV6ewrj7gf1Sa5WjCFjJiZwgLXMaA1Uh5mrR4uCDqLYA,1571216858,0
5DFfKfb5H4SzMis1ZrP2tPWxzTq1aQGwBHrtmceiiEBQNDAy,0,200000000000
5DA8dy5ADQykreJSLFK4gpD1TqRNc85NkzorVMh2yb1drGQk,0,4009572350640
5GKboSUiK8B1F7wzgmREddtkCLmPUMuUnSWcEeoMBpmob2QR,0,77671901300
5ENYimB42qGNXTPjUoUH5BZKs2iPXGEKcyDpuakhQkd5xskQ,0,155905020067
5G6TGLiF9Bgfn71FzoVx4rMeXQ7yCYrozEGPTL9FR21hvADR,0,4854563470628
5GEjhmwC9255azTEtetNUBjX1czY5Z2dy5NGUoroT3A8DQRb,0,458019305784
5F28EMnT9Ys1dwpU5AYQo9kRD1m4LtvLFJ34P259WzWjdgSC,0,252354668229
5EFM3WZhaY79Yg2bYdKtj4555QjZubM5wGkfd6EWU1tm1SNx,0,399660488855
5FxeAZhkLnnnPKLy1eZLA5BdA3nStqSEatr9ivgmdJUopMc2,0,12557428088539
5CAyGyhL5j3s7jjgpz3knTdhRPqBMiafLCab6VG2mZeppJND,0,10324796281
5CQ8QRp8VMyAJ1atSoSpdHTF52itZHULHdtKsNijYaA1RW4P,0,80576677437
5EFkQeXtVm9bcspxKRhMfcBK9eW3zeVtZqTvXMZBNZCQvjm5,0,493894019647
5CQB3RhZmy13tKTqNyfnGhBraqEjMvqGhZBwREGwmhD5mYS8,0,77259141741
